RESTART: D:\all my files\documents\uvm\5_masters\hive\github_directory\HIVE\vision\aruco_approx_dist.py
24/9/18
marker size 38.5mm
ID | Loc [px] | Dist [mm] | ~Dist [mm] | Error_d [%] | Heading [px]
-------------------------------------------------------------------
1   (437,259)     567.00      656.06          15.71        117
1   (435,256)     569.00      622.32           9.37        115
1   (434,255)     566.00      624.16          10.28        114
1   (434,253)     568.00      614.57           8.20        114
1   (432,253)     568.00      599.00           5.46        112
1   (287,220)     650.00      723.44          11.30        -33
1   (431,252)     568.00      599.99           5.63        111
1   (286,218)     648.00      740.84          14.33        -34
1   (430,251)     567.00      611.32           7.82        110
1   (284,216)     648.00      741.57          14.44        -36
1   (429,251)     569.00      590.14           3.72        109
1   (349,231)     601.00      658.38           9.55         29
1   (283,214)     642.00      740.95          15.41        -37
1   (428,250)     571.00      583.78           2.24        108
1   (280,261)     581.00      606.66           4.42        -40
1   (427,250)     571.00      584.41           2.35        107
1   (347,226)     598.00      597.92           0.01         27
1   (279,258)     590.00      574.70           2.59        -41
1   (425,249)     577.00      561.68           2.65        105
1   (279,256)     593.00      561.35           5.34        -41
1   (424,247)     578.00      569.59           1.45        104
1   (345,222)     599.00      584.28           2.46         25
1   (277,197)     625.00      659.39           5.50        -43
1   (345,218)     600.00      572.07           4.66         25
1   (279,254)     593.00      568.06           4.21        -41
1   (422,246)     583.00      546.62           6.24        102
1   (277,193)     623.00      647.99           4.01        -43
1   (277,252)     597.00      569.01           4.69        -43
1   (344,216)     598.00      571.94           4.36         24
1   (421,244)     585.00      554.02           5.30        101
1   (275,188)     620.00      617.20           0.45        -45
1   (342,213)     600.00      559.43           6.76         22
1   (275,247)     601.00      582.09           3.15        -45
1   (418,241)     588.00      560.77           4.63         98
1   (274,184)     625.00      597.40           4.42        -46
1   (417,241)     589.00      545.30           7.42         97
1   (340,212)     601.00      565.43           5.92         20
1   (274,246)     603.00      569.66           5.53        -46
1   (273,182)     619.00      598.09           3.38        -47
1   (415,240)     591.00      552.09           6.58         95
1   (274,245)     606.00      569.14           6.08        -46
1   (340,210)     602.00      547.71           9.02         20
1   (272,180)     615.00      598.33           2.71        -48
1   (414,239)     593.00      559.98           5.57         94
1   (339,207)     604.00      565.60           6.36         19
1   (274,241)     613.00      575.78           6.07        -46
1   (271,176)     614.00      579.60           5.60        -49
1   (414,237)     596.00      552.34           7.33         94
1   (340,206)     606.00      553.66           8.64         20
1   (274,239)     613.00      576.06           6.03        -46
1   (272,174)     615.00      570.73           7.20        -48
1   (340,203)     608.00      559.48           7.98         20
1   (414,234)     602.00      568.81           5.51         94
1   (273,172)     625.00      597.47           4.41        -47
1   (275,236)     616.00      582.09           5.51        -45
1   (415,233)     605.00      577.74           4.51         95
1   (341,202)     610.00      559.58           8.26         21
1   (276,235)     622.00      588.24           5.43        -44
1   (274,171)     625.00      588.22           5.88        -46
1   (341,200)     620.00      559.33           9.79         21
1   (414,230)     610.00      568.56           6.79         94
1   (276,233)     626.00      575.33           8.09        -44
1   (274,169)     630.00      578.89           8.11        -46
1   (414,229)     613.00      577.15           5.85         94
1   (277,232)     630.00      588.31           6.62        -43
1   (275,168)     634.00      587.84           7.28        -45
1   (341,198)     625.00      578.09           7.51         21
1   (413,229)     619.00      576.21           6.91         93
1   (275,168)     638.00      597.61           6.33        -45
1   (341,198)     628.00      578.37           7.90         21
1   (278,230)     641.00      601.61           6.14        -42
1   (413,227)     624.00      568.63           8.87         93
1   (276,167)     644.00      607.17           5.72        -44
1   (410,227)     630.00      593.65           5.77         90
1   (340,198)     643.00      591.11           8.07         20
1   (276,167)     653.00      627.03           3.98        -44
1   (278,229)     649.00      615.76           5.12        -42
1   (410,227)     640.00      593.09           7.33         90
1   (340,198)     645.00      584.62           9.36         20
1   (278,229)     652.00      622.91           4.46        -42
1   (276,168)     662.00      616.94           6.81        -44
1   (339,199)     648.00      597.63           7.77         19
1   (409,228)     646.00      612.18           5.24         89
1   (278,229)     662.00      615.76           6.99        -42
1   (276,168)     668.00      616.94           7.64        -44
1   (339,199)     660.00      597.95           9.40         19
1   (278,229)     671.00      623.26           7.11        -42
1   (408,228)     650.00      610.76           6.04         88
1   (277,169)     673.00      617.23           8.29        -43
1   (406,228)     661.00      621.33           6.00         86
1   (338,199)     670.00      611.91           8.67         18
1   (279,229)     676.00      637.86           5.64        -41
1   (277,169)     683.00      637.75           6.63        -43
1   (338,199)     672.00      611.91           8.94         18
1   (279,228)     681.00      638.23           6.28        -41
1   (405,228)     667.00      620.89           6.91         85
1   (278,170)     686.00      648.28           5.50        -42
1   (404,228)     669.00      620.46           7.26         84
1   (338,199)     673.00      634.47           5.72         18
1   (279,228)     687.00      645.92           5.98        -41
1   (278,169)     688.00      637.90           7.28        -42
1   (338,197)     677.00      626.65           7.44         18
1   (279,226)     688.00      645.53           6.17        -41
1   (404,226)     671.00      630.97           5.97         84
1   (278,167)     692.00      648.87           6.23        -42
1   (404,224)     674.00      620.46           7.94         84
1   (338,195)     675.00      619.02           8.29         18
1   (280,224)     685.00      645.69           5.74        -40
1   (278,166)     691.00      660.44           4.42        -42
1   (404,222)     670.00      620.12           7.44         84
1   (280,222)     686.00      637.64           7.05        -40
1   (338,193)     674.00      619.02           8.16         18
1   (278,164)     688.00      648.87           5.69        -42
1   (404,216)     669.00      675.39           0.96         84
1   (279,158)     686.00      683.68           0.34        -41
1   (404,212)     670.00      674.96           0.74         84
1   (278,154)     683.00      683.93           0.14        -42
1   (405,207)     666.00      652.99           1.95         85
1   (278,148)     683.00      658.64           3.57        -42
1   (405,203)     665.00      675.43           1.57         85
1   (406,198)     661.00      664.51           0.53         86
1   (408,188)     660.00      665.47           0.83         88
1   (280,130)     680.00      696.51           2.43        -40
1   (408,183)     660.00      654.19           0.88         88
1   (409,179)     658.00      665.93           1.21         89
1   (282,121)     680.00      671.93           1.19        -38
1   (411,170)     660.00      655.83           0.63         91
1   (283,113)     682.00      696.04           2.06        -37
1   (411,167)     661.00      644.54           2.49         91
1   (344,138)     670.00      659.08           1.63         24
1   (284,109)     682.00      670.38           1.70        -36
1   (345,134)     670.00      619.48           7.54         25
1   (412,163)     658.00      656.32           0.26         92
1   (284,163)     671.00      644.45           3.96        -36
1   (284,105)     682.00      615.07           9.81        -36
1   (412,160)     661.00      634.63           3.99         92
1   (345,131)     673.00      651.19           3.24         25
1   (284,160)     674.00      660.73           1.97        -36
