,fixed distance ,,,,,,,,,
id,N [bit], Size [mm], Size [px], Dist [mm], Angle [rad], Angle [deg],abs,Column1,double fold, Alpha [px/bit]
1310,5,50,54.9,307.71,0.39061,22.38,22.38,67.62,22.62,7.843
1284,5,50,54.86,308,-0.01818,-1.042,1.042,88.958,43.958,7.837
554,5,50,54.81,308.31,0.01786,1.023,1.023,88.977,43.977,7.83
1131,5,50,54.77,308.58,-0.31039,-17.784,17.784,72.216,27.216,7.824
1391,5,50,54.75,308.6,0.39061,22.38,22.38,67.62,22.62,7.821
1130,5,50,54.73,308.77,-0.16515,-9.462,9.462,80.538,35.538,7.818
497,5,50,54.71,308.88,0.12659,7.253,7.253,82.747,37.747,7.815
499,5,50,54.67,309.11,-0.21482,-12.308,12.308,77.692,32.692,7.811
498,5,50,54.67,309.06,-0.10866,-6.226,6.226,83.774,38.774,7.811
1257,5,50,54.66,309.13,-0.05258,-3.013,3.013,86.987,41.987,7.809
1156,5,50,54.65,309.22,-0.05352,-3.066,3.066,86.934,41.934,7.806
555,5,50,54.63,309.35,-0.16821,-9.638,9.638,80.362,35.362,7.805
1394,5,50,54.63,309.29,-0.16515,-9.462,9.462,80.538,35.538,7.805
1367,5,50,54.6,309.46,-0.10866,-6.226,6.226,83.774,38.774,7.801
1181,5,50,54.61,309.42,0,0,0,90,45,7.801
1393,5,50,54.6,309.5,0.01786,1.023,1.023,88.977,43.977,7.799
496,5,50,54.58,309.54,0.27095,15.524,15.524,74.476,29.476,7.797
1337,5,50,54.56,309.55,0.41451,23.75,23.75,66.25,21.25,7.794
527,5,50,54.56,309.76,-0.12659,-7.253,7.253,82.747,37.747,7.794
1392,5,50,54.54,309.8,0.17138,9.819,9.819,80.181,35.181,7.792
1182,5,50,54.54,309.83,-0.1974,-11.31,11.31,78.69,33.69,7.791
1285,5,50,54.54,309.83,-0.1974,-11.31,11.31,78.69,33.69,7.791
440,5,50,54.52,309.86,0.03702,2.121,2.121,87.879,42.879,7.789
504,5,50,54.5,310.08,-1.03351,-59.216,59.216,30.784,14.216,7.786
1129,5,50,54.5,310.02,0.01818,1.042,1.042,88.958,43.958,7.786
1134,5,50,54.48,310.22,-0.87377,-50.064,50.064,39.936,5.064,7.783
1286,5,50,54.48,310.21,-0.3274,-18.759,18.759,71.241,26.241,7.783
528,5,50,54.48,310.24,-0.34422,-19.722,19.722,70.278,25.278,7.782
1183,5,50,54.48,310.24,-0.34422,-19.722,19.722,70.278,25.278,7.782
1283,5,50,54.47,310.14,0.20464,11.725,11.725,78.275,33.275,7.782
553,5,50,54.45,310.36,0.23625,13.536,13.536,76.464,31.464,7.779
1255,5,50,54.45,310.3,0.32175,18.435,18.435,71.565,26.565,7.778
1179,5,50,54.44,310.3,0.39061,22.38,22.38,67.62,22.62,7.777
556,5,50,54.44,310.44,-0.31597,-18.104,18.104,71.896,26.896,7.777
1341,5,50,54.44,310.37,-0.24925,-14.281,14.281,75.719,30.719,7.777
567,5,50,54.43,310.33,-2.54859,-146.024,146.024,56.024,11.024,7.776
525,5,50,54.43,310.43,0.23625,13.536,13.536,76.464,31.464,7.776
1136,5,50,54.41,310.62,-1.2434,-71.241,71.241,18.759,26.241,7.773
506,5,50,54.41,310.6,-1.3734,-78.69,78.69,11.31,33.69,7.773
562,5,50,54.4,310.66,-1.42372,-81.573,81.573,8.427,36.573,7.772
1348,5,50,54.4,310.66,-1.69739,-97.253,97.253,7.253,37.747,7.772
501,5,50,54.39,310.7,-0.54348,-31.139,31.139,58.861,13.861,7.771
1232,5,50,54.4,310.64,-0.11066,-6.34,6.34,83.66,38.66,7.771
1340,5,50,54.4,310.64,-0.11066,-6.34,6.34,83.66,38.66,7.771
438,5,50,54.39,310.59,0.46365,26.565,26.565,63.435,18.435,7.77
1259,5,50,54.36,310.88,-0.42367,-24.274,24.274,65.726,20.726,7.766
1313,5,50,54.36,310.92,-0.18311,-10.491,10.491,79.509,34.509,7.765
1338,5,50,54.34,310.92,0.23625,13.536,13.536,76.464,31.464,7.763
500,5,50,54.33,311.05,-0.35031,-20.072,20.072,69.928,24.928,7.762
1292,5,50,54.33,311.09,-1.36615,-78.275,78.275,11.725,33.275,7.761
1396,5,50,54.31,311.21,-0.48885,-28.009,28.009,61.991,16.991,7.758
1132,5,50,54.31,311.2,-0.48018,-27.512,27.512,62.488,17.488,7.758
1287,5,50,54.31,311.2,-0.48018,-27.512,27.512,62.488,17.488,7.758
1282,5,50,54.31,311.09,0.40489,23.199,23.199,66.801,21.801,7.758
1361,5,50,54.31,310.95,1.18019,67.62,67.62,22.38,22.62,7.758
1207,5,50,54.29,311.24,-0.0726,-4.16,4.16,85.84,40.84,7.756
1256,5,50,54.29,311.21,0.12891,7.386,7.386,82.614,37.614,7.755
439,5,50,54.28,311.24,0.27095,15.524,15.524,74.476,29.476,7.754
1112,5,50,54.28,311.33,-1.78947,-102.529,102.529,12.529,32.471,7.754
526,5,50,54.28,311.33,0.05449,3.122,3.122,86.878,41.878,7.754
1212,5,50,54.27,311.41,-1.03351,-59.216,59.216,30.784,14.216,7.753
1365,5,50,54.27,311.23,0.25825,14.797,14.797,75.203,30.203,7.753
1320,5,50,54.27,311.41,-1.5708,-90,90,0,45,7.753
1211,5,50,54.27,311.43,-0.8486,-48.622,48.622,41.378,3.622,7.752
1186,5,50,54.26,311.47,-0.90175,-51.667,51.667,38.333,6.667,7.751
1342,5,50,54.25,311.54,-0.43114,-24.702,24.702,65.298,20.298,7.75
1387,5,50,54.25,311.25,1.28996,73.909,73.909,16.091,28.909,7.75
1321,5,50,54.25,311.46,-1.77175,-101.514,101.514,11.514,33.486,7.75
441,5,50,54.25,311.54,-0.14708,-8.427,8.427,81.573,36.573,7.75
1368,5,50,54.24,311.51,-0.2985,-17.103,17.103,72.897,27.897,7.749
529,5,50,54.24,311.6,-0.47952,-27.474,27.474,62.526,17.526,7.748
536,5,50,54.24,311.54,-1.90404,-109.094,109.094,19.094,25.906,7.748
551,5,50,54.23,311.49,0.58308,33.408,33.408,56.592,11.592,7.747
1082,5,50,54.21,311.71,-0.07006,-4.014,4.014,85.986,40.986,7.744
517,5,50,54.2,311.44,2.16922,124.287,124.287,34.287,10.713,7.743
1265,5,50,54.2,311.77,-1.6434,-94.16,94.16,4.16,40.84,7.743
1109,5,50,54.19,311.86,-1.16354,-66.666,66.666,23.334,21.666,7.742
1161,5,50,54.19,311.86,-1.16354,-66.666,66.666,23.334,21.666,7.742
1291,5,50,54.19,311.86,-1.16354,-66.666,66.666,23.334,21.666,7.742
1395,5,50,54.19,311.87,-0.35031,-20.072,20.072,69.928,24.928,7.742
1314,5,50,54.18,311.9,-0.38051,-21.801,21.801,68.199,23.199,7.741
1311,5,50,54.19,311.79,0.1622,9.293,9.293,80.707,35.707,7.741
531,5,50,54.18,311.95,-0.86418,-49.514,49.514,40.486,4.514,7.74
524,5,50,54.18,311.79,0.44752,25.641,25.641,64.359,19.359,7.74
534,5,50,54.18,312,-1.43948,-82.476,82.476,7.524,37.476,7.74
688,5,50,54.17,311.88,0.62464,35.789,35.789,54.211,9.211,7.739
1263,5,50,54.17,311.97,-1.16354,-66.666,66.666,23.334,21.666,7.739
1332,5,50,54.17,311.67,1.64613,94.316,94.316,4.316,40.684,7.738
1204,5,50,54.16,311.91,0.593,33.977,33.977,56.023,11.023,7.737
1135,5,50,54.16,312.05,-1.04002,-59.589,59.589,30.411,14.589,7.737
508,5,50,54.16,311.98,-1.85685,-106.39,106.39,16.39,28.61,7.737
1230,5,50,54.16,311.88,0.27095,15.524,15.524,74.476,29.476,7.737
1116,5,50,54.15,311.91,-2.80835,-160.907,160.907,70.907,25.907,7.735
1180,5,50,54.14,312.04,0.20464,11.725,11.725,78.275,33.275,7.735
1155,5,50,54.14,312.08,0.1622,9.293,9.293,80.707,35.707,7.734
503,5,50,54.13,312.22,-0.86418,-49.514,49.514,40.486,4.514,7.733
1398,5,50,54.13,312.22,-0.8876,-50.856,50.856,39.144,5.856,7.733
1127,5,50,54.13,312,0.44752,25.641,25.641,64.359,19.359,7.733
1184,5,50,54.12,312.26,-0.49642,-28.443,28.443,61.557,16.557,7.732
1364,5,50,54.13,312.08,0.49642,28.443,28.443,61.557,16.557,7.732
1206,5,50,54.13,312.13,0.14444,8.276,8.276,81.724,36.724,7.732
1281,5,50,54.12,312.13,0.54348,31.139,31.139,58.861,13.861,7.731
558,5,50,54.11,312.34,-0.61377,-35.166,35.166,54.834,9.834,7.73
505,5,50,54.11,312.4,-1.19707,-68.587,68.587,21.413,23.587,7.73
1270,5,50,54.11,312.13,-2.80835,-160.907,160.907,70.907,25.907,7.73
679,5,50,54.1,312.13,-2.74396,-157.218,157.218,67.218,22.218,7.729
564,5,50,54.1,312.34,-1.85685,-106.39,106.39,16.39,28.61,7.729
518,5,50,54.1,312.05,1.85163,106.091,106.091,16.091,28.909,7.728
540,5,50,54.1,312.15,-2.86579,-164.198,164.198,74.198,29.198,7.728
1366,5,50,54.1,312.3,0.09233,5.29,5.29,84.71,39.71,7.728
1304,5,50,54.08,312.12,1.91009,109.44,109.44,19.44,25.56,7.726
1339,5,50,54.08,312.46,0.09233,5.29,5.29,84.71,39.71,7.726
1279,5,50,54.07,312.35,1.09062,62.488,62.488,27.512,17.488,7.725
513,5,50,54.07,312.33,-3.06765,-175.764,175.764,85.764,40.764,7.724
559,5,50,54.06,312.6,-0.83798,-48.013,48.013,41.987,3.013,7.723
1363,5,50,54.06,312.45,0.6288,36.027,36.027,53.973,8.973,7.723
1254,5,50,54.06,312.45,0.5344,30.619,30.619,59.381,14.381,7.723
