----------------------------------------------------------------------------------
N [bit], Size [mm], Size [px], Dist [mm], Angle [rad], Angle [deg], Alpha [px/bit]
----------------------------------------------------------------------------------
      5,      50.0,     20.10,    860.29,    -2.89661,    -165.964,          2.871
      5,      50.0,     19.91,    847.08,    -2.69922,    -154.654,          2.845
      5,      50.0,     20.13,    858.89,    -2.89661,    -165.964,          2.876
      5,      50.0,     20.49,    823.07,    -2.74307,    -157.166,          2.928
      5,      50.0,     20.51,    838.83,    -2.95337,    -169.216,          2.930
      5,      50.0,     21.21,    801.11,    -2.85014,    -163.301,          3.030
      5,      50.0,     19.39,    873.66,    -3.04192,    -174.290,          2.770
      5,      50.0,     20.66,    820.03,    -2.99970,    -171.870,          2.951
      5,      50.0,     21.61,    780.70,    -2.71874,    -155.772,          3.087
      5,      50.0,     21.67,    797.24,    -2.81984,    -161.565,          3.096
      5,      50.0,     20.11,    855.09,    -2.99970,    -171.870,          2.873
      5,      50.0,     20.09,    845.89,    -2.78860,    -159.775,          2.870
      5,      50.0,     34.67,    489.62,    -2.79282,    -160.017,          4.953
      5,      50.0,     20.47,    829.13,    -2.67795,    -153.435,          2.924
      5,      50.0,     20.13,    857.82,    -2.88427,    -165.257,          2.876
      5,      50.0,     20.89,    822.89,    -2.95337,    -169.216,          2.984
      5,      50.0,     20.37,    828.27,    -2.72337,    -156.038,          2.909
      5,      50.0,     20.27,    837.57,    -2.85014,    -163.301,          2.896
      5,      50.0,     20.38,    830.95,    -3.04192,    -174.290,          2.911
      5,      50.0,     36.09,    470.68,    -2.78596,    -159.624,          5.155
      5,      50.0,     20.31,    833.73,    -2.95337,    -169.216,          2.901
      5,      50.0,     20.09,    858.86,    -2.83571,    -162.475,          2.871
      5,      50.0,     20.47,    824.19,    -2.69922,    -154.654,          2.924
      5,      50.0,     19.91,    852.42,    -2.63449,    -150.946,          2.845
      5,      50.0,     19.93,    851.94,    -2.78860,    -159.775,          2.847
      5,      50.0,     20.21,    850.15,    -2.94420,    -168.690,          2.887
      5,      50.0,     20.28,    831.99,    -3.04664,    -174.560,          2.897
      5,      50.0,     36.45,    466.21,    -2.77639,    -159.076,          5.207
      5,      50.0,     20.77,    812.54,    -3.09401,    -177.274,          2.967
      5,      50.0,     21.16,    802.89,    -2.67795,    -153.435,          3.022
      5,      50.0,     20.96,    804.81,    -2.72337,    -156.038,          2.994
      5,      50.0,     19.93,    851.27,    -2.78860,    -159.775,          2.848
      5,      50.0,     20.89,    825.05,    -2.89661,    -165.964,          2.985
      5,      50.0,     21.58,    795.50,    -2.95337,    -169.216,          3.083
      5,      50.0,     19.88,    851.31,    -3.04192,    -174.290,          2.840
      5,      50.0,     27.56,    618.32,    -1.60527,     -91.975,          3.936
      5,      50.0,     37.19,    457.37,    -2.77639,    -159.076,          5.313
      5,      50.0,     21.10,    812.37,    -2.95337,    -169.216,          3.014
      5,      50.0,     21.10,    815.92,    -2.89661,    -165.964,          3.014
      5,      50.0,     20.52,    822.36,    -3.09401,    -177.274,          2.932
      5,      50.0,     21.37,    795.06,    -2.61680,    -149.932,          3.053
      5,      50.0,     20.56,    824.79,    -2.80492,    -160.710,          2.937
      5,      50.0,     21.72,    778.93,    -2.99970,    -171.870,          3.103
      5,      50.0,     20.49,    823.33,    -2.74307,    -157.166,          2.927
      5,      50.0,     27.28,    625.03,    -1.60782,     -92.121,          3.897
      5,      50.0,     37.43,    455.42,    -2.76109,    -158.199,          5.347
      5,      50.0,     21.02,    803.22,    -3.09401,    -177.274,          3.003
      5,      50.0,     21.20,    802.86,    -2.57828,    -147.724,          3.028
      5,      50.0,     21.54,    786.37,    -2.76109,    -158.199,          3.077
      5,      50.0,     20.91,    806.79,    -2.69922,    -154.654,          2.987
      5,      50.0,     20.58,    834.88,    -2.85014,    -163.301,          2.939
