D:\all my files\documents\uvm\5_masters\hive\github_directory\HIVE\vision\find_alpha_routine.py,,,,,,
N [bit], Size [mm], Size [px], Dist [mm], Angle [rad], Angle [deg], Alpha [px/bit]
5,30,13.02,809.45,0,0,2.604
5,30,12.76,825.97,-0.07677,-4.399,2.552
5,30,13.02,809.5,-0.07131,-4.086,2.604
5,30,13.02,809.5,-0.07131,-4.086,2.604
5,30,12.5,839.86,0,0,2.5
5,30,12,849.01,0,0,2.4
5,30,12,848.45,0,0,2.4
5,30,12.52,812.7,0,0,2.504
5,30,12,844.02,0,0,2.4
5,30,12.52,808.7,-0.07677,-4.399,2.504
5,30,12.02,842.17,0,0,2.404
5,30,12.76,793.35,-0.07677,-4.399,2.552
5,30,12.52,808.49,-0.07677,-4.399,2.504
5,30,13,778.6,0,0,2.6
5,30,12.5,809.75,0,0,2.5
5,30,12.5,809.75,0,0,2.5
5,30,13,778.6,0,0,2.6
5,30,13,778.6,0,0,2.6
5,30,13,778.6,0,0,2.6
5,30,13,778.6,0,0,2.6
5,30,13,778.6,0,0,2.6
5,30,13,778.6,0,0,2.6
5,30,13,778.6,0,0,2.6
5,30,13,778.6,0,0,2.6
5,30,13,778.6,0,0,2.6
5,30,13,778.6,0,0,2.6
5,30,13,778.6,0,0,2.6
5,30,13,778.6,0,0,2.6
5,30,13,778.6,0,0,2.6
5,30,13,778.6,0,0,2.6
5,30,13,778.6,0,0,2.6
5,30,13,778.6,0,0,2.6
5,30,13,778.6,0,0,2.6
5,30,13,778.6,0,0,2.6
5,30,13,778.6,0,0,2.6
5,30,13,778.6,0,0,2.6
5,30,13,778.6,0,0,2.6
5,30,13,778.6,0,0,2.6
5,30,12.5,809.83,0,0,2.5
5,30,12.52,808.54,-0.07677,-4.399,2.504
5,30,12.5,809.88,0,0,2.5
5,30,12.76,793.35,-0.07677,-4.399,2.552
5,30,12.52,808.49,0,0,2.504
5,30,12.5,809.75,0,0,2.5
5,30,12.82,789.58,0.07677,4.399,2.564
5,30,12.78,791.94,0.07677,4.399,2.556
5,30,12.78,791.96,0.07677,4.399,2.556
5,30,12.32,821.43,0.16515,9.462,2.464
5,30,12.6,803.38,0.16515,9.462,2.52
5,30,12.28,824.57,0.08314,4.764,2.456
5,30,12.04,841.2,0.08314,4.764,2.408
5,30,12.12,835.78,0,0,2.425
5,30,12.68,800.16,0.07677,4.399,2.536
5,30,13.15,771.41,0.15265,8.746,2.631
5,30,13.25,765.86,0.21109,12.095,2.65
5,30,12.17,832.97,0.16515,9.462,2.433
5,30,12.68,798.37,0.24498,14.036,2.536
5,30,12.82,789.9,0.32175,18.435,2.563
5,30,12.51,809.34,0.2268,12.995,2.502
5,30,12.2,830.11,0.24498,14.036,2.439
5,30,12.38,818.33,0.15265,8.746,2.476
5,30,13.19,767.42,0.07677,4.399,2.638
5,30,12.6,803.43,0.16515,9.462,2.52
5,30,12.6,803.23,0.16515,9.462,2.52
5,30,12.1,836.17,0.08314,4.764,2.421
5,30,12.88,785.93,0.15265,8.746,2.575
5,30,12.38,817.5,0.16515,9.462,2.476
5,30,13.3,761.9,0.32175,18.435,2.66
5,30,13.61,744.21,0.36717,21.038,2.723
5,30,13.02,778.03,0.32175,18.435,2.604
5,30,14.16,714.84,0.588,33.69,2.832
5,30,13.67,740.85,0.6288,36.027,2.733
5,30,14.08,718.88,0.6288,36.027,2.817
5,30,13.39,756.02,0.6288,36.027,2.679
5,30,13.82,732.42,0.6288,36.027,2.765
5,30,13.04,776.56,0.56673,32.471,2.608
5,30,13.68,740.05,0.6288,36.027,2.736
5,30,13.32,760.03,0.6288,36.027,2.664
5,30,13.32,759.94,0.56673,32.471,2.664
5,30,13.75,736.2,0.49394,28.301,2.75
5,30,13.73,737.19,0.588,33.69,2.746
