= RESTART: D:\all my files\documents\uvm\5_masters\hive\github_directory\HIVE\vision\find_alpha_routine.py
24-09-24
---------------------------------------------------------------------
N [bit], Size [mm], Size [px], Dist [mm], Angle [deg], Alpha [px/bit]
---------------------------------------------------------------------
      5,      38.5,     13.50,    967.86,        0.00,          2.700
      5,      38.5,     13.26,    985.41,        4.40,          2.652
      5,      38.5,     13.26,    985.41,        4.40,          2.652
      5,      38.5,     13.50,    967.86,        0.00,          2.700
      5,      38.5,     13.26,    985.41,        4.40,          2.652
      5,      38.5,     13.26,    985.41,        4.40,          2.652
      5,      38.5,     13.26,    985.41,        4.40,          2.652
      5,      38.5,     13.26,    985.41,        4.40,          2.652
      5,      38.5,     13.26,    985.41,        4.40,          2.652
      5,      38.5,     13.26,    985.41,        4.40,          2.652
      5,      38.5,     13.26,    985.41,        4.40,          2.652
      5,      38.5,     13.52,    966.18,        4.40,          2.704
      5,      38.5,     13.00,   1005.09,        0.00,          2.600
      5,      38.5,     13.52,    966.18,        4.40,          2.704
      5,      38.5,     13.52,    966.18,        4.40,          2.704
      5,      38.5,     13.52,    966.18,        4.40,          2.704
      5,      38.5,     13.52,    966.18,        4.40,          2.704
      5,      38.5,     13.52,    966.18,        4.40,          2.704
      5,      38.5,     13.52,    966.18,        4.40,          2.704
      5,      38.5,     13.52,    966.18,        4.40,          2.704
      5,      38.5,     13.52,    966.18,        4.40,          2.704
      5,      38.5,     13.52,    966.18,        4.40,          2.704
      5,      38.5,     13.52,    966.18,        4.40,          2.704
      5,      38.5,     13.52,    966.18,        4.40,          2.704
      5,      38.5,     13.52,    966.18,        4.40,          2.704
      5,      38.5,     13.52,    966.18,        4.40,          2.704
      5,      38.5,     13.52,    966.18,        4.40,          2.704
      5,      38.5,     25.77,    504.57,        0.00,          5.155
      5,      38.5,     30.25,    429.85,        0.00,          6.051
      5,      38.5,     30.51,    426.55,        0.00,          6.102
      5,      38.5,     31.02,    419.49,       -1.79,          6.203
      5,      38.5,     32.25,    403.26,        0.00,          6.451
      5,      38.5,     32.26,    403.10,       -1.79,          6.452
      5,      38.5,     33.01,    393.94,        0.00,          6.602
      5,      38.5,     33.25,    391.02,       -1.74,          6.651
      5,      38.5,     33.51,    388.01,       -1.68,          6.701
      5,      38.5,     32.26,    403.16,        0.00,          6.452
      5,      38.5,     33.02,    394.32,       -1.74,          6.603
      5,      38.5,     34.01,    383.06,        0.00,          6.801
      5,      38.5,     34.01,    383.24,        0.00,          6.801
      5,      38.5,     33.76,    386.03,       -1.64,          6.752
      5,      38.5,     33.51,    389.05,        0.00,          6.702
      5,      38.5,     33.77,    385.86,        0.00,          6.754
      5,      38.5,     33.26,    391.48,       -1.74,          6.652
      5,      38.5,     34.26,    379.90,       -1.64,          6.852
      5,      38.5,     34.01,    382.58,       -1.68,          6.803
      5,      38.5,     34.01,    382.51,       -1.68,          6.803
      5,      38.5,     33.29,    390.76,       -1.68,          6.658
      5,      38.5,     32.78,    396.77,       -1.74,          6.555
      5,      38.5,     33.76,    385.04,       -1.68,          6.752
      5,      38.5,     33.76,    384.95,       -1.68,          6.752
      5,      38.5,     34.01,    382.13,        0.00,          6.801
      5,      38.5,     33.76,    384.91,       -1.68,          6.752
      5,      38.5,     34.01,    382.06,        0.00,          6.801
      5,      38.5,     33.75,    384.88,       -1.68,          6.751
      5,      38.5,     33.75,    384.86,        0.00,          6.751
      5,      38.5,     33.76,    384.79,        0.00,          6.752
      5,      38.5,     33.75,    384.88,        0.00,          6.751
      5,      38.5,     33.76,    384.85,        0.00,          6.752
      5,      38.5,     33.26,    390.66,       -1.74,          6.652
      5,      38.5,     33.26,    390.83,       -1.68,          6.652
      5,      38.5,     33.52,    387.94,        0.00,          6.704
      5,      38.5,     34.00,    382.61,        0.00,          6.800
      5,      38.5,     33.51,    388.37,        1.74,          6.701
      5,      38.5,     33.78,    385.44,        1.68,          6.755
      5,      38.5,     34.28,    379.59,        3.27,          6.857
      5,      38.5,     33.14,    392.44,        6.71,          6.629
      5,      38.5,     33.69,    385.90,        5.19,          6.737
      5,      38.5,     33.91,    383.32,        6.71,          6.782
      5,      38.5,     33.80,    384.46,        6.71,          6.761
      5,      38.5,     33.87,    383.70,        8.37,          6.774
      5,      38.5,     33.05,    393.38,       10.62,          6.610
      5,      38.5,     33.05,    393.49,       10.31,          6.610
      5,      38.5,     33.64,    386.45,       11.98,          6.728
      5,      38.5,     33.25,    390.77,       12.34,          6.651
      5,      38.5,     33.66,    385.98,       14.04,          6.732
      5,      38.5,     34.08,    381.15,       15.26,          6.816
      5,      38.5,     33.60,    386.58,       15.71,          6.720
      5,      38.5,     34.52,    376.24,       16.86,          6.904
      5,      38.5,     33.22,    391.04,       17.88,          6.643
      5,      38.5,     33.52,    387.49,       18.97,          6.705
      5,      38.5,     34.00,    382.18,       18.44,          6.799
      5,      38.5,     34.65,    375.06,       19.98,          6.929
      5,      38.5,     33.86,    383.81,       20.56,          6.772
      5,      38.5,     34.03,    381.80,       20.56,          6.807
      5,      38.5,     33.75,    384.97,       21.16,          6.751
      5,      38.5,     34.54,    376.14,       22.11,          6.908
      5,      38.5,     33.49,    387.96,       22.75,          6.697
      5,      38.5,     34.14,    380.45,       23.63,          6.829
      5,      38.5,     33.69,    385.49,       25.02,          6.739
      5,      38.5,     33.77,    384.57,       25.82,          6.755
      5,      38.5,     33.54,    387.24,       26.57,          6.708
      5,      38.5,     34.11,    380.76,       27.30,          6.822
      5,      38.5,     33.91,    383.04,       28.07,          6.782
      5,      38.5,     33.81,    384.22,       28.07,          6.762
      5,      38.5,     33.80,    384.31,       29.54,          6.760
      5,      38.5,     33.19,    391.49,       30.38,          6.637
      5,      38.5,     33.80,    384.45,       30.38,          6.760
      5,      38.5,     33.64,    386.31,       31.83,          6.727
      5,      38.5,     33.56,    387.17,       31.83,          6.713
      5,      38.5,     33.08,    392.89,       33.69,          6.616
      5,      38.5,     33.15,    392.17,       32.74,          6.629
      5,      38.5,     33.37,    389.50,       35.54,          6.675
      5,      38.5,     33.20,    391.48,       37.57,          6.640
      5,      38.5,     33.16,    392.01,       37.57,          6.631
      5,      38.5,     33.16,    392.01,       38.93,          6.631
      5,      38.5,     33.08,    392.95,       37.57,          6.616
      5,      38.5,     33.30,    390.35,       41.35,          6.660
      5,      38.5,     33.64,    386.48,       40.24,          6.728
      5,      38.5,     32.91,    394.99,       43.78,          6.583
      5,      38.5,     33.25,    391.15,       45.00,          6.651
      5,      38.5,     33.24,    391.39,       45.00,          6.648
      5,      38.5,     33.59,    387.40,       46.22,          6.718
      5,      38.5,     33.61,    387.22,       48.50,          6.723
      5,      38.5,     33.62,    387.06,       48.65,          6.724
      5,      38.5,     33.30,    390.85,       48.65,          6.660
      5,      38.5,     33.66,    386.71,       48.65,          6.732
      5,      38.5,     33.68,    386.45,       49.77,          6.736
      5,      38.5,     34.03,    382.37,       49.77,          6.807
      5,      38.5,     32.80,    396.65,       52.43,          6.560
      5,      38.5,     33.11,    392.91,       49.97,          6.623
      5,      38.5,     33.07,    393.39,       51.07,          6.615
      5,      38.5,     34.06,    381.95,       49.77,          6.812
      5,      38.5,     33.42,    389.23,       51.07,          6.684
      5,      38.5,     33.46,    388.76,       52.13,          6.693
      5,      38.5,     33.16,    392.28,       51.07,          6.631
      5,      38.5,     33.42,    389.17,       51.07,          6.684
      5,      38.5,     33.86,    384.09,       52.13,          6.772
      5,      38.5,     33.86,    384.10,       52.13,          6.771
      5,      38.5,     33.50,    388.16,       52.13,          6.701
      5,      38.5,     32.91,    395.16,       53.84,          6.581
      5,      38.5,     33.60,    386.98,       53.47,          6.720
      5,      38.5,     33.31,    390.35,       54.46,          6.662
      5,      38.5,     33.08,    393.02,       55.84,          6.616
      5,      38.5,     33.37,    389.59,       54.87,          6.673
      5,      38.5,     33.02,    393.74,       54.87,          6.603
      5,      38.5,     33.37,    389.59,       53.47,          6.673
      5,      38.5,     33.08,    392.97,       55.84,          6.616
      5,      38.5,     33.37,    389.59,       53.47,          6.673
      5,      38.5,     33.43,    388.90,       55.84,          6.685
      5,      38.5,     33.56,    387.30,       56.77,          6.713
      5,      38.5,     33.22,    391.32,       57.27,          6.643
      5,      38.5,     33.91,    383.33,       56.77,          6.782
      5,      38.5,     33.37,    389.52,       58.17,          6.673
      5,      38.5,     32.76,    396.76,       58.74,          6.551
      5,      38.5,     33.10,    392.57,       59.62,          6.621
      5,      38.5,     33.37,    389.48,       58.17,          6.673
      5,      38.5,     33.45,    388.52,       59.62,          6.690
      5,      38.5,     33.53,    387.57,       58.17,          6.706
      5,      38.5,     33.37,    389.39,       61.12,          6.674
      5,      38.5,     33.80,    384.38,       61.93,          6.761
      5,      38.5,     33.80,    384.39,       60.46,          6.760
      5,      38.5,     33.22,    391.08,       61.93,          6.645
      5,      38.5,     34.11,    380.92,       62.70,          6.821
      5,      38.5,     33.88,    383.47,       63.44,          6.776
      5,      38.5,     33.44,    388.51,       64.18,          6.688
      5,      38.5,     33.99,    382.21,       64.18,          6.798
      5,      38.5,     33.99,    382.21,       64.18,          6.798
      5,      38.5,     33.77,    384.61,       65.70,          6.755
      5,      38.5,     33.44,    388.44,       64.99,          6.688
      5,      38.5,     33.54,    387.32,       63.44,          6.708
      5,      38.5,     33.11,    392.41,       64.99,          6.621
      5,      38.5,     33.21,    391.21,       62.65,          6.642
      5,      38.5,     33.90,    383.26,       60.46,          6.780
      5,      38.5,     33.80,    384.38,       61.93,          6.761
      5,      38.5,     32.94,    394.56,       59.62,          6.587
      5,      38.5,     32.76,    396.76,       58.74,          6.551
      5,      38.5,     33.22,    391.32,       57.27,          6.643
      5,      38.5,     33.78,    384.87,       53.47,          6.756
      5,      38.5,     32.73,    397.16,       55.31,          6.547
      5,      38.5,     33.25,    391.02,       53.84,          6.651
      5,      38.5,     33.91,    383.56,       52.13,          6.781
      5,      38.5,     33.11,    392.77,       52.43,          6.623
      5,      38.5,     33.39,    389.63,       51.07,          6.678
      5,      38.5,     33.33,    390.39,       49.77,          6.666
      5,      38.5,     32.95,    394.91,       48.65,          6.591
      5,      38.5,     34.03,    382.45,       48.50,          6.807
      5,      38.5,     32.62,    399.06,       49.97,          6.525
      5,      38.5,     32.93,    395.51,       48.65,          6.586
      5,      38.5,     33.94,    383.76,       46.17,          6.789
      5,      38.5,     33.26,    391.66,       45.00,          6.652
      5,      38.5,     33.98,    383.44,       43.83,          6.796
      5,      38.5,     33.66,    387.12,       42.62,          6.732
