= RESTART: D:\all my files\documents\uvm\5_masters\hive\github_directory\HIVE\vision\find_alpha_routine.py
---------------------------------------------------------------------
N [bit], Size [mm], Size [px], Dist [mm], Angle [rad], Alpha [px/bit]
---------------------------------------------------------------------
      5,      38.5,     13.26,    979.57,     0.00000,          2.652
      5,      38.5,     13.26,    979.57,     0.00000,          2.652
      5,      38.5,     13.26,    979.57,     0.00000,          2.652
      5,      38.5,     13.26,    979.57,     0.00000,          2.652
      5,      38.5,     13.26,    979.57,     0.00000,          2.652
      5,      38.5,     13.02,    997.65,    -0.07131,          2.604
      5,      38.5,     13.02,    997.65,    -0.07131,          2.604
      5,      38.5,     13.02,    997.65,    -0.07131,          2.604
      5,      38.5,     13.26,    979.57,     0.00000,          2.652
      5,      38.5,     13.26,    979.57,     0.00000,          2.652
      5,      38.5,     13.26,    979.57,     0.00000,          2.652
      5,      38.5,     13.26,    979.57,     0.00000,          2.652
      5,      38.5,     13.26,    979.57,     0.00000,          2.652
      5,      38.5,     13.26,    979.57,     0.00000,          2.652
      5,      38.5,     13.26,    979.57,     0.00000,          2.652
      5,      38.5,     13.26,    979.57,     0.00000,          2.652
      5,      38.5,     13.26,    979.57,     0.00000,          2.652
      5,      38.5,     13.26,    979.57,     0.00000,          2.652
      5,      38.5,     13.26,    979.57,     0.00000,          2.652
      5,      38.5,     13.26,    979.57,     0.00000,          2.652
      5,      38.5,     13.26,    979.57,     0.00000,          2.652
      5,      38.5,     13.26,    979.57,     0.00000,          2.652
      5,      38.5,     13.26,    979.57,     0.00000,          2.652
      5,      38.5,     13.26,    979.57,     0.00000,          2.652
      5,      38.5,     13.26,    979.57,     0.00000,          2.652
      5,      38.5,     13.26,    979.57,     0.00000,          2.652
      5,      38.5,     13.26,    979.57,     0.00000,          2.652
      5,      38.5,     13.26,    979.57,     0.00000,          2.652
      5,      38.5,     13.26,    979.57,     0.00000,          2.652
      5,      38.5,     13.26,    979.57,     0.00000,          2.652
      5,      38.5,     13.26,    979.57,     0.00000,          2.652
      5,      38.5,     13.26,    979.57,     0.00000,          2.652
      5,      38.5,     13.26,    979.57,     0.00000,          2.652
      5,      38.5,     13.26,    979.57,     0.00000,          2.652
      5,      38.5,     13.26,    979.57,     0.00000,          2.652
      5,      38.5,     13.26,    979.57,     0.00000,          2.652
      5,      38.5,     13.26,    979.57,     0.00000,          2.652
      5,      38.5,     13.26,    979.57,     0.00000,          2.652
      5,      38.5,     13.26,    979.57,     0.00000,          2.652
      5,      38.5,     13.26,    979.57,     0.00000,          2.652
      5,      38.5,     13.26,    979.57,     0.00000,          2.652
      5,      38.5,     13.26,    979.57,     0.00000,          2.652
      5,      38.5,     13.26,    979.57,     0.00000,          2.652
      5,      38.5,     13.26,    979.57,     0.00000,          2.652
      5,      38.5,     13.26,    979.57,     0.00000,          2.652
      5,      38.5,     13.26,    979.57,     0.00000,          2.652
      5,      38.5,     13.26,    979.57,     0.00000,          2.652
      5,      38.5,     13.26,    979.57,     0.00000,          2.652
      5,      38.5,     13.26,    979.57,     0.00000,          2.652
      5,      38.5,     13.26,    979.57,     0.00000,          2.652
      5,      38.5,     13.26,    979.57,     0.00000,          2.652
      5,      38.5,     13.26,    979.57,     0.00000,          2.652
      5,      38.5,     13.26,    979.57,     0.00000,          2.652
      5,      38.5,     13.26,    979.57,     0.00000,          2.652
      5,      38.5,     13.26,    979.57,     0.00000,          2.652
      5,      38.5,     13.26,    979.57,     0.00000,          2.652
      5,      38.5,     13.26,    979.57,     0.00000,          2.652
      5,      38.5,     13.26,    979.57,     0.00000,          2.652
      5,      38.5,     13.26,    979.57,     0.00000,          2.652
      5,      38.5,     13.26,    979.57,     0.00000,          2.652
      5,      38.5,     13.26,    979.57,     0.00000,          2.652
      5,      38.5,     13.26,    979.57,     0.00000,          2.652
      5,      38.5,     13.26,    979.57,     0.00000,          2.652
      5,      38.5,     13.26,    979.57,     0.00000,          2.652
      5,      38.5,     13.26,    979.57,     0.00000,          2.652
      5,      38.5,     13.26,    979.57,     0.00000,          2.652
      5,      38.5,     13.26,    979.57,     0.00000,          2.652
      5,      38.5,     13.26,    979.57,     0.00000,          2.652
      5,      38.5,     13.26,    979.57,     0.00000,          2.652
      5,      38.5,     13.26,    979.57,     0.00000,          2.652
      5,      38.5,     13.26,    979.57,     0.00000,          2.652
      5,      38.5,     13.26,    979.57,     0.00000,          2.652
      5,      38.5,     13.26,    979.57,     0.00000,          2.652
      5,      38.5,     13.26,    979.57,     0.00000,          2.652
      5,      38.5,     13.26,    979.57,     0.00000,          2.652
      5,      38.5,     13.26,    979.57,     0.00000,          2.652
      5,      38.5,     13.26,    979.57,     0.00000,          2.652
      5,      38.5,     13.26,    979.57,     0.00000,          2.652
      5,      38.5,     13.52,    960.89,     0.00000,          2.704
