Beginning Data Collection for Model Comparisons...,,,,,,
aruco_approx_dist.py Test Case 5,,,,,,
marker size: 45,,,,,,
theta_fov: 1.416,,,,,,
image width: 640,,,,,,
calibrated pixel approx: d=14430m_px^-0.958,,,,,,
-----------------------------------------,,,,,,
True Dist [mm], RS Meas Dist [mm], RS Error [%], Pixel Approx Dist Theoretical [mm], Pixel Theo Error [%], Pixel Approx Dist Calib [mm], Pixel Calib Error [%]
200,200,0,194.87,-2.5646,201.56,0.7784
200,200,0,196.01,-1.9942,202.69,1.3434
200,200,0,195.47,-2.2668,202.15,1.0733
200,200,0,195.47,-2.2671,202.15,1.0731
200,200,0,195.42,-2.2878,202.09,1.0474
200,200,0,195.42,-2.2902,202.1,1.0502
200,200,0,193.7,-3.1506,200.4,0.1976
200,200,0,194.92,-2.5384,201.61,0.8043
200,200,0,194.92,-2.5384,201.61,0.8043
200,200,0,195.47,-2.2668,202.15,1.0733
200,200,0,196.01,-1.9942,202.69,1.3434
200,200,0,194.92,-2.5384,201.61,0.8043
200,200,0,195.36,-2.3198,202.04,1.0208
200,200,0,194.87,-2.5646,201.56,0.7784
200,200,0,195.36,-2.3198,202.04,1.0208
200,200,0,195.47,-2.2671,202.15,1.0731
200,200,0,195.36,-2.3198,202.04,1.0208
200,200,0,194.87,-2.5646,201.56,0.7784
200,200,0,194.88,-2.5612,201.56,0.7817
200,200,0,195.47,-2.2668,202.15,1.0733
200,200,0,195.42,-2.2902,202.1,1.0502
200,200,0,194.88,-2.5615,201.56,0.7814
200,200,0,194.92,-2.5384,201.61,0.8043
200,200,0,195.42,-2.2902,202.1,1.0502
200,200,0,195.47,-2.2671,202.15,1.0731
200,200,0,194.92,-2.5384,201.61,0.8043
200,200,0,195.36,-2.3175,202.04,1.018
200,200,0,194.33,-2.8342,201.02,0.5112
200,200,0,195.42,-2.2902,202.1,1.0502
200,200,0,195.41,-2.2933,202.09,1.0471
200,200,0,196.01,-1.9942,202.69,1.3434
200,200,0,194.33,-2.8342,201.02,0.5112
200,200,0,194.87,-2.5646,201.56,0.7784
200,200,0,194.83,-2.5874,201.51,0.7558
200,200,0,194.92,-2.5384,201.61,0.8043
200,200,0,194.34,-2.831,201.03,0.5144
200,200,0,194.33,-2.8342,201.02,0.5112
200,200,0,195.97,-2.0154,202.63,1.3172
200,200,0,195.36,-2.3198,202.04,1.0208
200,200,0,195.96,-2.0208,202.63,1.3171
200,200,0,194.83,-2.5874,201.51,0.7558
200,200,0,195.47,-2.2671,202.15,1.0731
200,200,0,196.01,-1.9942,202.69,1.3434
200,200,0,195.47,-2.2671,202.15,1.0731
200,200,0,194.92,-2.5384,201.61,0.8043
200,200,0,194.92,-2.5384,201.61,0.8043
200,200,0,194.87,-2.5646,201.56,0.7784
200,200,0,196.01,-1.9942,202.69,1.3434
200,200,0,194.92,-2.5384,201.61,0.8043
200,200,0,194.29,-2.857,200.98,0.4886
200,200,0,194.88,-2.5615,201.56,0.7814
200,200,0,195.47,-2.2671,202.15,1.0731
200,200,0,195.42,-2.2902,202.1,1.0502
200,200,0,195.47,-2.2668,202.15,1.0733
200,200,0,195.42,-2.2902,202.1,1.0502
200,200,0,194.92,-2.5384,201.61,0.8043
200,200,0,195.41,-2.2935,202.09,1.047
200,200,0,196.01,-1.9942,202.69,1.3434
200,200,0,194.34,-2.8311,201.03,0.5142
200,200,0,195.42,-2.2902,202.1,1.0502
200,200,0,195.47,-2.2671,202.15,1.0731
200,200,0,195.47,-2.2671,202.15,1.0731
200,200,0,194.92,-2.5384,201.61,0.8043
200,200,0,194.92,-2.5384,201.61,0.8043
200,200,0,195.47,-2.2671,202.15,1.0731
200,200,0,194.92,-2.5384,201.61,0.8043
200,200,0,195.42,-2.2902,202.1,1.0502
200,200,0,195.47,-2.2671,202.15,1.0731
200,200,0,195.47,-2.2671,202.15,1.0731
200,200,0,195.47,-2.2668,202.15,1.0733
