Beginning Pixel Size Calibration Test...,
-----------------------------------------,
Marker Size: 45mm,
True Dist [mm], Pixel Size [px]
200,85.83
200,86.07
200,86.07
200,85.83
200,85.83
200,86.07
200,85.83
200,86.07
200,85.83
200,86.07
200,86.07
200,86.07
200,85.83
200,86.07
200,85.83
200,86.07
200,85.83
200,85.83
200,85.83
200,86.07
200,85.83
200,85.83
200,85.83
200,86.07
200,86.07
200,85.83
200,85.83
200,85.83
200,85.83
200,86.07
200,86.07
200,85.83
200,85.83
200,85.83
200,85.83
200,85.83
200,85.83
200,85.83
200,85.83
200,85.83
200,85.83
200,85.83
200,86.07
200,85.83
200,85.83
200,85.83
200,85.83
200,85.83
200,85.83
200,86.07
200,85.83
200,85.83
200,86.07
200,86.07
200,85.83
200,85.83
200,85.83
200,86.07
200,86.07
200,86.07
200,86.07
200,86.07
200,85.83
200,86.07
200,85.83
200,85.83
200,86.07
200,86.07
200,86.07
200,86.07
200,86.07
200,85.6
200,86.07
200,86.07
200,86.07
200,85.83
200,85.83
200,85.83
200,85.83
200,85.83
200,85.83
200,85.83
200,85.83
200,85.83
200,85.83
200,86.07
200,85.83
200,86.07
200,85.83
200,85.83
200,85.83
200,86.07
200,85.6
200,85.83
200,86.07
200,85.83
200,85.83
200,85.83
200,85.83
200,86.07
300,57.32
300,57.32
300,57.58
300,57.32
300,57.32
300,57.32
300,57.32
300,57.32
300,57.32
300,57.32
300,57.32
300,57.58
300,57.32
300,57.32
300,57.32
300,57.32
300,57.58
300,57.32
300,57.32
300,57.58
300,57.32
300,57.32
300,57.32
300,57.32
300,57.58
300,57.32
300,57.58
300,57.58
300,57.32
300,57.58
300,57.32
300,57.32
300,57.32
300,57.32
300,57.32
300,57.32
300,57.58
300,57.58
300,57.58
300,57.58
300,57.58
300,57.58
300,57.32
300,57.32
300,57.58
300,57.58
300,57.32
300,57.58
300,57.58
300,57.32
300,57.32
300,57.32
300,57.32
300,57.58
300,57.58
300,57.58
300,57.58
300,57.32
300,57.58
300,57.58
300,57.32
300,57.58
300,57.58
300,57.58
300,57.58
300,57.58
300,57.58
300,57.58
300,57.58
300,57.58
300,57.58
300,57.58
300,57.32
300,57.32
300,57.58
300,57.58
300,57.58
300,57.58
300,57.32
300,57.58
300,57.32
300,57.58
300,57.58
300,57.58
300,57.58
300,57.58
300,57.32
300,57.32
300,57.32
300,57.58
300,57.58
300,57.32
300,57.58
300,57.58
300,57.58
300,57.58
300,57.58
300,57.58
300,57.58
300,57.58
400,42.58
400,42.35
400,42.55
400,42.35
400,42.35
400,42.35
400,42.35
400,42.11
400,42.35
400,42.58
400,42.31
400,42.58
400,42.34
400,42.58
400,42.34
400,42.55
400,42.34
400,42.55
400,42.35
400,42.11
400,42.35
400,42.31
400,42.55
400,42.35
400,42.58
400,42.58
400,42.34
400,42.35
400,42.34
400,42.34
400,42.34
400,42.35
400,42.35
400,42.35
400,42.34
400,42.11
400,42.34
400,42.58
400,42.35
