Beginning Pixel Size Calibration Test...
-----------------------------------------
aruco_approx_dist.py, test_case=4
Marker Size: 45mm
-----------------------------------------
True Dist [mm], Pixel Size [px]
-----------------------------------------
200.00, 85.80
200.00, 85.48
200.00, 85.80
200.00, 86.13
200.00, 86.15
200.00, 85.50
200.00, 86.13
200.00, 85.80
200.00, 86.13
200.00, 85.80
200.00, 85.83
200.00, 85.83
200.00, 85.80
200.00, 85.80
200.00, 85.83
200.00, 85.83
200.00, 85.83
200.00, 85.80
200.00, 85.83
200.00, 85.80
200.00, 85.83
200.00, 85.83
200.00, 85.80
200.00, 85.80
200.00, 86.13
200.00, 85.80
200.00, 85.80
200.00, 86.13
200.00, 85.83
200.00, 85.83
200.00, 85.83
200.00, 86.10
200.00, 85.80
200.00, 86.13
200.00, 86.15
200.00, 85.83
200.00, 86.13
200.00, 85.83
200.00, 85.80
200.00, 85.83
200.00, 86.15
200.00, 86.15
200.00, 85.80
200.00, 86.13
200.00, 85.80
200.00, 85.50
200.00, 85.48
200.00, 86.13
200.00, 85.80
200.00, 86.13
200.00, 85.83
200.00, 86.18
200.00, 86.13
200.00, 86.13
200.00, 85.80
200.00, 85.83
200.00, 85.80
200.00, 86.13
200.00, 86.15
200.00, 85.80
200.00, 86.10
200.00, 86.13
200.00, 85.83
200.00, 85.83
200.00, 86.15
200.00, 85.80
200.00, 85.83
200.00, 85.83
200.00, 85.80
200.00, 85.48
200.00, 85.80
200.00, 86.15
200.00, 85.83
200.00, 85.80
200.00, 85.83
200.00, 85.50
200.00, 86.15
200.00, 85.80
200.00, 85.83
200.00, 86.13
200.00, 85.83
200.00, 85.83
200.00, 86.13
200.00, 86.13
200.00, 85.83
200.00, 85.80
200.00, 86.15
200.00, 85.77
200.00, 85.83
200.00, 85.48
200.00, 86.13
200.00, 86.15
200.00, 86.15
200.00, 85.80
200.00, 86.15
200.00, 85.83
200.00, 85.80
200.00, 85.83
200.00, 86.13
200.00, 85.83
300.00, 57.11
300.00, 57.11
300.00, 57.11
300.00, 57.11
300.00, 57.11
300.00, 57.43
300.00, 57.11
300.00, 57.11
300.00, 57.11
300.00, 57.11
300.00, 57.11
300.00, 57.11
300.00, 57.43
300.00, 57.11
300.00, 57.11
300.00, 57.11
300.00, 57.11
300.00, 57.11
300.00, 57.11
300.00, 57.11
300.00, 57.11
300.00, 57.11
300.00, 57.11
300.00, 57.11
300.00, 57.11
300.00, 57.11
300.00, 57.11
300.00, 57.11
300.00, 57.11
300.00, 57.11
300.00, 57.11
300.00, 57.11
300.00, 57.43
300.00, 57.11
300.00, 57.43
300.00, 57.11
300.00, 57.11
300.00, 57.43
300.00, 57.43
300.00, 57.43
300.00, 57.43
300.00, 57.11
300.00, 57.11
300.00, 57.43
300.00, 57.43
300.00, 57.43
300.00, 57.43
300.00, 57.11
300.00, 57.43
300.00, 57.11
300.00, 56.76
300.00, 57.11
300.00, 57.43
300.00, 57.43
300.00, 57.43
300.00, 57.43
