Beginning Pixel Size Calibration Test...
-----------------------------------------
Marker Size: 44.5mm
True Dist [mm], Pixel Size [px]
200.00, 86.07
200.00, 86.09
200.00, 86.33
200.00, 85.36
200.00, 85.83
200.00, 85.83
200.00, 85.60
200.00, 85.84
200.00, 86.57
200.00, 85.83
200.00, 85.36
200.00, 85.83
200.00, 85.83
200.00, 85.81
200.00, 85.83
200.00, 85.60
200.00, 85.60
200.00, 85.83
200.00, 85.83
200.00, 85.60
200.00, 86.07
200.00, 86.09
200.00, 85.60
200.00, 85.83
200.00, 85.60
200.00, 86.07
200.00, 85.59
200.00, 86.07
200.00, 85.83
200.00, 85.62
200.00, 85.60
200.00, 85.59
200.00, 86.09
200.00, 85.83
200.00, 85.83
200.00, 86.09
200.00, 86.10
200.00, 86.07
200.00, 85.83
200.00, 85.83
200.00, 85.83
200.00, 86.33
200.00, 85.62
200.00, 85.60
200.00, 86.09
200.00, 86.09
200.00, 85.83
200.00, 86.33
200.00, 85.83
200.00, 85.59
200.00, 86.33
200.00, 85.83
200.00, 85.59
200.00, 85.60
200.00, 85.60
200.00, 85.60
200.00, 85.83
200.00, 85.83
200.00, 85.83
200.00, 85.59
200.00, 86.10
200.00, 85.59
200.00, 86.33
200.00, 85.83
200.00, 85.60
200.00, 85.81
200.00, 85.60
200.00, 86.60
200.00, 86.10
200.00, 86.07
200.00, 86.06
200.00, 85.59
200.00, 85.83
200.00, 85.86
200.00, 85.83
200.00, 85.60
200.00, 85.60
200.00, 85.83
200.00, 86.07
200.00, 85.59
200.00, 86.07
200.00, 85.86
200.00, 86.07
200.00, 85.59
200.00, 85.62
200.00, 85.83
200.00, 85.59
200.00, 86.33
200.00, 85.83
200.00, 85.60
200.00, 86.32
200.00, 86.33
200.00, 85.83
200.00, 85.59
200.00, 85.60
200.00, 85.86
200.00, 85.60
200.00, 86.31
200.00, 85.83
200.00, 85.86
300.00, 56.32
300.00, 56.32
300.00, 56.35
300.00, 56.32
300.00, 56.32
