Beginning Data Collection for Model Comparisons...
aruco_approx_dist.py Test Case 5
marker size: 45
off angle test - tank angled at 15deg
calibration model 14056*mpx^-0.952
-----------------------------------------
True Dist [mm], RS Meas Dist [mm], RS Error [%], Pixel Approx Dist Theoretical [mm], Pixel Theo Error [%], Pixel Approx Dist Calib [mm], Pixel Calib Error [%]
-----------------------------------------
200.00, 200.00, 0.0000, 181.34, -9.3302, 197.91, -1.0467
200.00, 200.00, 0.0000, 181.01, -9.4944, 197.40, -1.2998
200.00, 200.00, 0.0000, 180.85, -9.5732, 197.40, -1.2992
200.00, 200.00, 0.0000, 181.88, -9.0590, 198.47, -0.7650
200.00, 200.00, 0.0000, 181.85, -9.0760, 198.43, -0.7827
200.00, 200.00, 0.0000, 181.35, -9.3243, 197.92, -1.0406
200.00, 200.00, 0.0000, 180.84, -9.5789, 197.39, -1.3051
200.00, 200.00, 0.0000, 181.87, -9.0657, 198.46, -0.7719
200.00, 200.00, 0.0000, 182.41, -8.7951, 199.02, -0.4909
200.00, 200.00, 0.0000, 180.84, -9.5789, 197.39, -1.3051
200.00, 200.00, 0.0000, 181.86, -9.0681, 198.45, -0.7744
200.00, 200.00, 0.0000, 181.91, -9.0469, 198.50, -0.7524
200.00, 200.00, 0.0000, 180.99, -9.5033, 197.38, -1.3090
200.00, 200.00, 0.0000, 181.34, -9.3302, 197.91, -1.0467
200.00, 200.00, 0.0000, 181.34, -9.3280, 197.91, -1.0444
200.00, 200.00, 0.0000, 181.51, -9.2428, 197.92, -1.0386
200.00, 200.00, 0.0000, 181.91, -9.0469, 198.50, -0.7524
200.00, 200.00, 0.0000, 182.39, -8.8074, 198.99, -0.5036
200.00, 200.00, 0.0000, 181.88, -9.0590, 198.47, -0.7650
200.00, 200.00, 0.0000, 182.57, -8.7151, 199.02, -0.4908
200.00, 200.00, 0.0000, 181.88, -9.0590, 198.47, -0.7650
200.00, 200.00, 0.0000, 181.53, -9.2333, 197.94, -1.0287
200.00, 200.00, 0.0000, 181.88, -9.0597, 198.47, -0.7657
200.00, 200.00, 0.0000, 182.05, -8.9736, 198.48, -0.7592
200.00, 200.00, 0.0000, 181.87, -9.0641, 198.46, -0.7702
200.00, 200.00, 0.0000, 181.51, -9.2453, 197.92, -1.0411
200.00, 200.00, 0.0000, 181.86, -9.0681, 198.45, -0.7744
200.00, 200.00, 0.0000, 182.41, -8.7951, 199.02, -0.4909
200.00, 200.00, 0.0000, 181.88, -9.0590, 198.47, -0.7650
200.00, 200.00, 0.0000, 181.32, -9.3379, 197.89, -1.0547
200.00, 200.00, 0.0000, 180.80, -9.5975, 197.35, -1.3245
200.00, 200.00, 0.0000, 180.83, -9.5826, 197.38, -1.3090
200.00, 200.00, 0.0000, 181.91, -9.0469, 198.50, -0.7524
200.00, 200.00, 0.0000, 181.33, -9.3370, 197.89, -1.0538
200.00, 200.00, 0.0000, 182.41, -8.7951, 199.02, -0.4909
200.00, 200.00, 0.0000, 182.41, -8.7951, 199.02, -0.4909
200.00, 200.00, 0.0000, 181.53, -9.2333, 197.94, -1.0287
200.00, 200.00, 0.0000, 181.38, -9.3093, 197.95, -1.0251
200.00, 200.00, 0.0000, 180.85, -9.5738, 197.40, -1.2998
200.00, 200.00, 0.0000, 181.36, -9.3182, 197.93, -1.0343
200.00, 200.00, 0.0000, 181.33, -9.3370, 197.89, -1.0538
200.00, 200.00, 0.0000, 181.35, -9.3243, 197.92, -1.0406
200.00, 200.00, 0.0000, 180.82, -9.5917, 197.36, -1.3184
200.00, 200.00, 0.0000, 181.32, -9.3379, 197.89, -1.0547
200.00, 200.00, 0.0000, 182.41, -8.7940, 199.02, -0.4897
200.00, 200.00, 0.0000, 181.32, -9.3379, 197.89, -1.0547
200.00, 200.00, 0.0000, 182.41, -8.7951, 199.02, -0.4909
200.00, 200.00, 0.0000, 181.91, -9.0469, 198.50, -0.7524
200.00, 200.00, 0.0000, 182.41, -8.7951, 199.02, -0.4909
200.00, 200.00, 0.0000, 181.35, -9.3243, 197.92, -1.0406
200.00, 200.00, 0.0000, 180.80, -9.5975, 197.35, -1.3245
200.00, 200.00, 0.0000, 182.41, -8.7951, 199.02, -0.4909
200.00, 200.00, 0.0000, 182.41, -8.7951, 199.02, -0.4909
200.00, 200.00, 0.0000, 181.87, -9.0657, 198.46, -0.7719
200.00, 200.00, 0.0000, 180.83, -9.5830, 197.38, -1.3094
200.00, 200.00, 0.0000, 181.84, -9.0778, 198.43, -0.7845
200.00, 200.00, 0.0000, 181.34, -9.3302, 197.91, -1.0467
200.00, 200.00, 0.0000, 181.91, -9.0444, 198.50, -0.7498
200.00, 200.00, 0.0000, 181.88, -9.0590, 198.47, -0.7650
200.00, 200.00, 0.0000, 182.05, -8.9736, 198.48, -0.7592
200.00, 200.00, 0.0000, 181.88, -9.0590, 198.47, -0.7650
200.00, 200.00, 0.0000, 181.89, -9.0562, 198.48, -0.7621
200.00, 200.00, 0.0000, 181.89, -9.0563, 198.48, -0.7622
200.00, 200.00, 0.0000, 181.36, -9.3182, 197.93, -1.0343
200.00, 200.00, 0.0000, 181.37, -9.3129, 197.94, -1.0287
200.00, 200.00, 0.0000, 180.99, -9.5033, 197.38, -1.3090
200.00, 200.00, 0.0000, 181.39, -9.3037, 197.96, -1.0192
200.00, 200.00, 0.0000, 180.99, -9.5033, 197.38, -1.3090
200.00, 200.00, 0.0000, 182.41, -8.7951, 199.02, -0.4909
200.00, 200.00, 0.0000, 181.86, -9.0681, 198.45, -0.7744
200.00, 200.00, 0.0000, 181.34, -9.3302, 197.91, -1.0467
200.00, 200.00, 0.0000, 181.88, -9.0590, 198.47, -0.7650
200.00, 200.00, 0.0000, 181.86, -9.0715, 198.44, -0.7780
200.00, 200.00, 0.0000, 181.02, -9.4917, 197.41, -1.2970
200.00, 200.00, 0.0000, 181.38, -9.3093, 197.95, -1.0251
200.00, 200.00, 0.0000, 181.88, -9.0590, 198.47, -0.7650
200.00, 200.00, 0.0000, 180.83, -9.5826, 197.38, -1.3090
200.00, 200.00, 0.0000, 182.41, -8.7951, 199.02, -0.4909
200.00, 200.00, 0.0000, 181.50, -9.2477, 197.91, -1.0437
200.00, 200.00, 0.0000, 181.88, -9.0590, 198.47, -0.7650
200.00, 200.00, 0.0000, 182.05, -8.9736, 198.48, -0.7592
200.00, 200.00, 0.0000, 181.88, -9.0590, 198.47, -0.7650
200.00, 200.00, 0.0000, 181.88, -9.0590, 198.47, -0.7650
