Beginning Data Collection for Model Comparisons...,,,,,,
aruco_approx_dist.py Test Case 5,,,,,,
marker size: 45,,,,,,
calibration model: 14056*mpx^-0.952,,,,,,
-----------------------------------------,,,,,,
True Dist [mm], RS Meas Dist [mm], RS Error [%], Pixel Approx Dist Theoretical [mm], Pixel Theo Error [%], Pixel Approx Dist Calib [mm], Pixel Calib Error [%]
200,200,0,177.71,-11.1455,203.66,1.8278
200,200,0,177.71,-11.1455,203.66,1.8278
200,201,0.5,177.71,-11.1455,203.66,1.8278
200,201,0.5,177.71,-11.1455,203.66,1.8278
200,201,0.5,177.71,-11.1455,203.66,1.8278
200,201,0.5,177.71,-11.1455,203.66,1.8278
200,200,0,177.76,-11.1182,203.72,1.8576
200,200,0,177.71,-11.1455,203.66,1.8278
200,200,0,178.44,-10.7802,204.45,2.2263
200,200,0,178.38,-10.8107,204.39,2.1931
200,201,0.5,177.71,-11.1455,203.66,1.8278
200,201,0.5,177.71,-11.1455,203.66,1.8278
200,200,0,177.76,-11.1182,203.72,1.8576
200,201,0.5,177.71,-11.1455,203.66,1.8278
200,201,0.5,177.71,-11.1455,203.66,1.8278
200,201,0.5,177.71,-11.1455,203.66,1.8278
200,200,0,177.71,-11.1455,203.66,1.8278
200,201,0.5,178.38,-10.8107,204.39,2.1931
200,200,0,177.71,-11.1455,203.66,1.8278
200,201,0.5,177.71,-11.1455,203.66,1.8278
200,201,0.5,177.71,-11.1455,203.66,1.8278
200,201,0.5,177.71,-11.1455,203.66,1.8278
200,201,0.5,177.71,-11.1455,203.66,1.8278
200,201,0.5,177.76,-11.1182,203.72,1.8576
200,201,0.5,177.65,-11.1745,203.59,1.7962
200,201,0.5,177.71,-11.1455,203.66,1.8278
200,200,0,177.71,-11.1455,203.66,1.8278
200,201,0.5,177.71,-11.1455,203.66,1.8278
200,201,0.5,178.44,-10.7802,204.45,2.2263
200,201,0.5,177.71,-11.1455,203.66,1.8278
200,201,0.5,177.71,-11.1455,203.66,1.8278
200,201,0.5,177.71,-11.1455,203.66,1.8278
200,201,0.5,177.71,-11.1455,203.66,1.8278
200,201,0.5,177.76,-11.1182,203.72,1.8576
200,200,0,178.38,-10.8107,204.39,2.1931
200,201,0.5,178.44,-10.7802,204.45,2.2263
200,201,0.5,177.71,-11.1455,203.66,1.8278
200,201,0.5,177.71,-11.1455,203.66,1.8278
200,201,0.5,177.71,-11.1455,203.66,1.8278
200,200,0,177.71,-11.1455,203.66,1.8278
200,201,0.5,177.71,-11.1455,203.66,1.8278
200,200,0,177.71,-11.1455,203.66,1.8278
200,200,0,177.71,-11.1455,203.66,1.8278
200,201,0.5,176.98,-11.5109,202.86,1.4291
200,201,0.5,178.39,-10.8053,204.4,2.1989
200,201,0.5,177.71,-11.1455,203.66,1.8278
200,201,0.5,177.71,-11.1455,203.66,1.8278
200,201,0.5,177.03,-11.4868,202.91,1.4554
200,201,0.5,177.76,-11.1182,203.72,1.8576
200,201,0.5,177.71,-11.1455,203.66,1.8278
200,201,0.5,177.71,-11.1455,203.66,1.8278
200,201,0.5,177.71,-11.1455,203.66,1.8278
200,201,0.5,177.71,-11.1455,203.66,1.8278
200,201,0.5,177.71,-11.1455,203.66,1.8278
200,200,0,178.44,-10.7802,204.45,2.2263
200,201,0.5,177.71,-11.1455,203.66,1.8278
200,201,0.5,177.71,-11.1455,203.66,1.8278
200,201,0.5,177.71,-11.1455,203.66,1.8278
200,201,0.5,177.71,-11.1455,203.66,1.8278
200,201,0.5,177.71,-11.1455,203.66,1.8278
200,201,0.5,178.44,-10.7802,204.45,2.2263
