PROGRAM: system_id_dual_motor.ino
UPLOAD DATE: 2024 MAR 19
TEST DATE: 2024 SEP 20
Sample time [ms]: 50.00
Time elapsed [s], Command Value, omega_enc_0_L [rad/s], omega_enc_1_R [rad/s]
0.08, 0, 0.00, 0.00
0.13, 0, 0.00, 0.00
0.18, 0, 0.00, 0.00
0.23, 0, 0.00, 0.00
0.28, 0, 0.00, 0.00
0.33, 0, 0.00, 0.00
0.38, 0, 0.00, 0.00
0.44, 0, 0.00, 0.00
0.49, 0, 0.00, 0.00
0.54, 0, 0.00, 0.00
0.59, 0, 0.00, 0.00
0.64, 0, 0.00, 0.00
0.69, 0, 0.00, 0.00
0.74, 0, 0.00, 0.00
0.79, 0, 0.00, 0.00
0.84, 0, 0.00, 0.00
0.90, 0, 0.00, 0.00
0.95, 0, 0.00, 0.00
1.00, 0, 0.00, 0.00
1.05, 0, 0.00, 0.00
1.10, 0, 0.00, 0.00
1.15, 0, 0.00, 0.00
1.20, 0, 0.00, 0.00
1.25, 0, 0.00, 0.00
1.30, 0, 0.00, 0.00
1.36, 0, 0.00, 0.00
1.41, 0, 0.00, 0.00
1.46, 0, 0.00, 0.00
1.51, 0, 0.00, 0.00
1.56, 0, 0.00, 0.00
1.61, 0, 0.00, 0.00
1.66, 0, 0.00, 0.00
1.72, 0, 0.00, 0.00
1.77, 0, 0.00, 0.00
1.82, 0, 0.00, 0.00
1.87, 0, 0.00, 0.00
1.92, 0, 0.00, 0.00
1.97, 0, 0.00, 0.00
2.02, 0, 0.00, 0.00
2.07, 0, 0.00, 0.00
2.12, 0, 0.00, 0.00
2.18, 0, 0.00, 0.00
2.23, 0, 0.00, 0.00
2.28, 0, 0.00, 0.00
2.33, 0, 0.00, 0.00
2.38, 0, 0.00, 0.00
2.43, 0, 0.00, 0.00
2.48, 0, 0.00, 0.00
2.53, 0, 0.00, 0.00
2.59, 0, 0.00, 0.00
2.64, 0, 0.00, 0.00
2.69, 0, 0.00, 0.00
2.74, 0, 0.00, 0.00
2.79, 0, 0.00, 0.00
2.84, 0, 0.00, 0.00
2.89, 0, 0.00, 0.00
2.94, 0, 0.00, 0.00
3.00, 0, 0.00, 0.00
3.05, 0, 0.00, 0.00
3.10, 0, 0.00, 0.00
3.15, 0, 0.00, 0.00
3.20, 0, 0.00, 0.00
3.25, 0, 0.00, 0.00
3.30, 0, 0.00, 0.00
3.35, 0, 0.00, 0.00
3.40, 0, 0.00, 0.00
3.46, 0, 0.00, 0.00
3.51, 0, 0.00, 0.00
3.56, 0, 0.00, 0.00
3.61, 0, 0.00, 0.00
3.66, 0, 0.00, 0.00
3.71, 0, 0.00, 0.00
3.76, 0, 0.00, 0.00
3.81, 0, 0.00, 0.00
3.87, 0, 0.00, 0.00
3.92, 0, 0.00, 0.00
3.97, 0, 0.00, 0.00
4.02, 0, 0.00, 0.00
4.07, 50, 1.48, 1.96
4.12, 50, 3.25, 0.00
4.17, 50, 4.43, 0.39
4.22, 50, 4.05, 0.00
4.28, 50, 4.13, 8.60
4.33, 50, 4.43, 11.34
4.38, 50, 4.43, 11.34
4.43, 50, 5.31, 11.73
4.48, 50, 3.76, 11.51
4.53, 50, 5.02, 12.91
4.58, 50, 5.61, 10.56
4.63, 50, 5.02, 11.73
4.68, 50, 5.90, 11.73
4.74, 50, 4.63, 11.89
4.79, 50, 4.43, 11.73
4.84, 50, 4.72, 12.91
4.89, 50, 5.31, 5.08
4.94, 50, 5.31, 4.69
4.99, 50, 4.05, 4.99
5.04, 50, 5.31, 6.26
5.09, 50, 4.13, 5.48
5.15, 50, 5.31, 5.48
5.20, 50, 5.02, 4.30
5.25, 50, 4.63, 8.05
5.30, 50, 5.90, 4.69
5.35, 50, 4.72, 5.08
5.40, 50, 4.43, 8.21
5.45, 50, 6.79, 7.43
5.50, 50, 3.76, 6.52
5.55, 50, 4.72, 7.82
5.61, 50, 4.43, 6.26
5.66, 50, 4.43, 9.78
5.71, 50, 4.72, 10.17
5.76, 50, 4.34, 5.75
5.81, 50, 4.43, 6.26
5.86, 50, 4.43, 7.43
5.91, 50, 5.61, 9.39
5.96, 50, 4.43, 7.82
6.02, 50, 4.34, 6.90
6.07, 50, 5.31, 10.17
6.12, 50, 5.61, 8.21
6.17, 50, 6.20, 11.34
6.22, 50, 5.61, 8.21
6.27, 50, 4.63, 9.21
6.32, 50, 5.02, 6.65
6.37, 50, 4.43, 7.82
6.43, 50, 5.02, 5.08
6.48, 50, 5.02, 6.65
6.53, 50, 4.63, 5.37
6.58, 50, 4.43, 8.21
6.63, 50, 4.72, 4.69
6.68, 50, 4.72, 4.30
6.73, 50, 5.02, 6.26
6.78, 50, 4.34, 4.22
6.84, 50, 4.72, 3.52
6.89, 50, 4.13, 4.30
6.94, 50, 5.02, 6.26
6.99, 50, 4.72, 5.48
7.04, 50, 4.63, 6.52
7.09, 50, 4.13, 7.43
7.14, 50, 4.43, 4.69
7.19, 50, 4.72, 7.43
7.24, 50, 4.72, 9.39
7.30, 50, 4.63, 8.05
7.35, 50, 4.13, 6.65
7.40, 50, 4.43, 6.26
7.45, 50, 4.43, 6.65
7.50, 50, 5.61, 9.39
7.55, 50, 4.63, 6.14
7.60, 50, 4.13, 5.87
7.65, 50, 5.02, 9.00
7.71, 50, 4.43, 13.69
7.76, 50, 6.20, 8.21
7.81, 50, 4.63, 11.12
7.86, 50, 4.72, 4.30
7.91, 50, 4.43, 5.87
7.96, 50, 4.72, 7.43
8.01, 50, 4.43, 6.65
8.06, 100, 5.79, 5.75
8.11, 100, 8.86, 9.39
8.17, 100, 10.63, 12.12
8.22, 100, 11.22, 13.69
8.27, 100, 11.51, 13.30
8.32, 100, 11.58, 11.89
8.37, 100, 10.63, 14.47
8.42, 100, 11.51, 11.34
8.47, 100, 10.92, 14.47
8.52, 100, 11.81, 12.91
8.58, 100, 11.00, 10.74
8.63, 100, 10.63, 11.73
8.68, 100, 10.33, 10.95
8.73, 100, 11.51, 11.34
8.78, 100, 10.92, 13.69
8.83, 100, 10.42, 9.97
8.88, 100, 10.33, 11.73
8.93, 100, 11.22, 11.34
8.98, 100, 11.81, 14.08
9.04, 100, 11.81, 11.73
9.09, 100, 10.13, 11.51
9.14, 100, 10.63, 12.12
9.19, 100, 10.63, 12.51
9.24, 100, 10.92, 11.73
9.29, 100, 10.63, 12.12
9.34, 100, 11.29, 11.89
9.40, 100, 10.63, 10.95
9.45, 100, 10.63, 11.73
9.50, 100, 10.63, 13.30
9.55, 100, 10.63, 12.12
9.60, 100, 10.71, 13.04
9.65, 100, 10.92, 13.30
9.70, 100, 10.33, 12.51
9.75, 100, 10.63, 13.30
9.80, 100, 11.51, 12.12
9.86, 100, 10.71, 11.89
9.91, 100, 11.22, 14.86
9.96, 100, 11.22, 12.12
10.01, 100, 10.63, 10.56
